City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Raudeberg,NO,2022-09-26 22:25:48,61.9875,5.1352,44.96,1,100,7.11
154,Bengkulu,ID,2022-09-26 22:25:48,-3.8004,102.2655,74.7,91,79,5.48
155,Glens Falls,US,2022-09-26 22:25:48,43.3095,-73.644,62.19,83,100,6.91
156,Bouna,CI,2022-09-26 22:25:49,9.2667,-3.0,70.36,90,100,2.24
157,Siilinjarvi,FI,2022-09-26 22:25:49,63.0833,27.6667,46.42,93,20,2.3
158,Barahona,DO,2022-09-26 22:25:49,18.2085,-71.1008,85.82,79,20,11.5
159,Nouadhibou,MR,2022-09-26 22:25:50,20.931,-17.0347,78.78,83,20,12.66
160,Skjervoy,NO,2022-09-26 22:25:50,70.0311,20.9714,46.4,80,52,20.85
161,Padang,ID,2022-09-26 22:25:51,-0.9492,100.3543,77.0,89,100,3.13
162,Georgetown,MY,2022-09-26 22:25:51,5.4112,100.3354,80.89,88,20,5.75
163,Scarborough,GB,2022-09-26 22:21:11,54.2797,-0.4044,45.79,88,82,13.6
164,Laguna,US,2022-09-26 22:25:52,38.421,-121.4238,96.31,36,0,6.91
165,Mumford,GH,2022-09-26 22:25:52,5.2618,-0.759,75.78,89,82,11.45
166,Ponta Do Sol,PT,2022-09-26 22:25:52,32.6667,-17.1,70.43,74,21,8.75
167,Guasdualito,VE,2022-09-26 22:25:53,7.2424,-70.7324,75.2,94,50,2.3
168,Murud,IN,2022-09-26 22:25:53,18.3258,72.965,74.28,90,21,3.0
169,Kruisfontein,ZA,2022-09-26 22:23:58,-34.0033,24.7314,60.89,92,100,18.92
170,Lahij,YE,2022-09-26 22:25:54,13.1667,44.5833,85.59,49,69,7.02
171,Touros,BR,2022-09-26 22:25:54,-5.1989,-35.4608,77.29,76,21,16.22
172,Viedma,AR,2022-09-26 22:25:54,-40.8135,-62.9967,61.52,42,29,6.08
173,Husavik,IS,2022-09-26 22:25:55,66.0449,-17.3389,38.21,55,25,19.98
174,Ilmenau,DE,2022-09-26 22:25:56,50.6833,10.9,48.47,87,98,13.53
175,Saint Anthony,US,2022-09-26 22:25:56,45.0205,-93.218,64.02,38,0,20.71
176,Khartoum,SD,2022-09-26 22:22:07,15.5518,32.5324,87.03,52,32,1.99
177,Shelui,TZ,2022-09-26 22:25:57,-4.3667,34.2,71.65,52,10,15.21
178,Abu Samrah,SY,2022-09-26 22:25:57,35.3029,37.1841,70.18,35,0,6.2
179,Road Town,VG,2022-09-26 22:25:57,18.4167,-64.6167,84.29,79,40,9.22
180,Dickson,US,2022-09-26 22:25:58,36.077,-87.3878,74.55,31,0,12.66
181,Gwadar,PK,2022-09-26 22:25:58,25.1216,62.3254,79.32,79,1,5.21
182,Saint-Georges,GD,2022-09-26 22:25:59,12.0564,-61.7485,82.08,83,40,13.8
183,Bajram Curri,AL,2022-09-26 22:25:59,42.3554,20.0784,62.13,99,100,2.44
184,Sao Joao Da Barra,BR,2022-09-26 22:25:59,-21.6403,-41.0511,73.49,83,45,16.64
185,Alberton,CA,2022-09-26 22:26:00,46.8168,-64.0654,64.31,88,1,15.01
186,Akdagmadeni,TR,2022-09-26 22:26:00,39.6603,35.8836,55.08,23,4,4.81
187,Nantucket,US,2022-09-26 22:26:01,41.2835,-70.0995,69.91,68,0,11.5
188,Vieques,PR,2022-09-26 22:26:01,18.425,-65.8329,84.2,74,40,12.66
189,Marzuq,YE,2022-09-26 22:26:01,14.4,46.4667,75.65,55,3,2.82
190,Bereznik,RU,2022-09-26 22:21:14,62.8551,42.7072,37.11,90,20,5.7
191,Ballina,AU,2022-09-26 22:26:02,-28.8667,153.5667,70.02,83,78,3.62
192,Ostrovnoy,RU,2022-09-26 22:26:02,68.0531,39.5131,37.9,80,100,7.63
193,Urk,NL,2022-09-26 22:26:03,52.6625,5.6014,52.99,92,100,18.75
194,Kalmunai,LK,2022-09-26 22:26:03,7.4167,81.8167,78.01,82,59,4.79
195,Maragogi,BR,2022-09-26 22:22:55,-9.0122,-35.2225,74.37,77,49,10.85
196,Vicuna,CL,2022-09-26 22:26:04,-30.0319,-70.7081,68.77,44,98,6.06
197,New Glasgow,CA,2022-09-26 22:26:04,45.5834,-62.6486,64.78,88,46,15.77
198,Boca Do Acre,BR,2022-09-26 22:26:05,-8.7522,-67.3978,93.15,32,59,3.65
199,Gusau,NG,2022-09-26 22:26:05,12.1628,6.6614,77.23,80,98,7.74
200,Parabel,RU,2022-09-26 22:26:06,58.6978,81.4825,25.0,87,58,4.21
201,Morvi,IN,2022-09-26 22:26:06,22.8167,70.8333,79.79,68,21,7.72
202,Wendo,ET,2022-09-26 22:26:06,6.6,38.4167,56.28,85,50,4.79
203,Iquique,CL,2022-09-26 22:23:59,-20.2208,-70.1431,60.84,75,38,3.56
204,Ancud,CL,2022-09-26 22:26:07,-41.8697,-73.8203,46.22,78,28,7.96
205,Bom Jesus,BR,2022-09-26 22:26:07,-9.0744,-44.3586,82.96,30,5,4.29
206,Karaton,ID,2022-09-26 22:26:09,-6.3424,106.1045,73.47,91,99,1.57
207,Keetmanshoop,NA,2022-09-26 22:26:09,-26.5833,18.1333,55.81,46,0,9.75
208,Dabat,ET,2022-09-26 22:26:10,12.9842,37.765,52.7,69,48,2.89
209,Karlstad,SE,2022-09-26 22:26:10,59.3793,13.5036,52.36,89,75,9.22
210,Port-Gentil,GA,2022-09-26 22:26:11,-0.7193,8.7815,76.96,88,75,11.5
211,Mana,GF,2022-09-26 22:26:11,5.6592,-53.7767,80.71,83,5,13.8
212,Salalah,OM,2022-09-26 22:23:36,17.0151,54.0924,78.89,94,75,9.22
213,Ratnagiri,IN,2022-09-26 22:26:12,16.9833,73.3,74.73,88,56,3.27
214,Shimoni,KE,2022-09-26 22:26:12,-4.6476,39.3817,75.09,83,86,10.47
215,Keti Bandar,PK,2022-09-26 22:26:12,24.1447,67.4497,80.19,75,3,6.73
216,Stornoway,GB,2022-09-26 22:26:13,58.2093,-6.3865,46.36,78,75,16.11
217,Richards Bay,ZA,2022-09-26 22:26:13,-28.783,32.0377,70.99,89,54,12.03
218,Chirilagua,SV,2022-09-26 22:26:14,13.2203,-88.1386,85.75,85,57,3.51
219,Pangani,TZ,2022-09-26 22:26:14,-5.4333,38.9667,73.56,84,23,6.73
220,Kedrovyy,RU,2022-09-26 22:26:14,56.1667,91.8167,27.01,96,98,3.71
221,Borba,BR,2022-09-26 22:26:15,-4.3878,-59.5939,92.66,34,97,2.53
222,Neubrandenburg,DE,2022-09-26 22:26:15,53.5667,13.2667,53.8,67,100,10.6
223,Totness,SR,2022-09-26 22:26:15,5.8833,-56.3167,82.06,81,23,12.75
224,Muros,ES,2022-09-26 22:26:16,42.7762,-9.0603,55.83,86,5,5.91
225,Cumana,VE,2022-09-26 22:26:16,10.4635,-64.1775,82.62,78,64,6.82
226,Chapais,CA,2022-09-26 22:26:17,49.7834,-74.8492,55.18,63,94,2.33
227,Bulawayo,ZW,2022-09-26 22:26:17,-20.15,28.5833,70.5,28,15,4.05
228,Moshenskoye,RU,2022-09-26 22:26:17,58.5102,34.5911,43.92,93,100,3.18
229,Uruzgan,AF,2022-09-26 22:26:18,32.8333,66.0,63.63,9,0,4.25
230,Ambilobe,MG,2022-09-26 22:26:18,-13.2,49.05,68.47,65,0,6.71
231,Huarmey,PE,2022-09-26 22:26:19,-10.0681,-78.1522,64.31,76,48,9.82
232,Chadiza,ZM,2022-09-26 22:26:19,-14.0678,32.4392,70.23,40,0,3.76
233,Marienburg,PL,2022-09-26 22:26:19,54.0359,19.0266,53.89,86,100,3.69
234,Bubaque,GW,2022-09-26 22:26:20,11.2833,-15.8333,80.76,77,63,15.57
235,Edgewater,US,2022-09-26 22:26:20,28.9889,-80.9023,85.28,61,20,11.5
236,Podor,MR,2022-09-26 22:26:21,16.6527,-14.9587,85.95,74,20,0.0
237,Piacabucu,BR,2022-09-26 22:26:21,-10.4056,-36.4344,73.31,75,10,7.85
238,Ipixuna,BR,2022-09-26 22:26:22,-1.7625,-48.8043,78.42,83,38,6.96
239,San Andres,CO,2022-09-26 22:24:23,12.5847,-81.7006,84.22,79,75,4.61
240,Xuddur,SO,2022-09-26 22:26:22,4.1213,43.8894,75.51,72,50,16.46
241,Hualmay,PE,2022-09-26 22:26:23,-11.0964,-77.6139,63.91,75,21,10.94
242,Lusambo,CD,2022-09-26 22:26:23,-4.9667,23.45,70.07,90,45,2.71
243,Lokosovo,RU,2022-09-26 22:26:23,61.1333,74.8167,25.68,89,71,5.55
244,Qostanay,KZ,2022-09-26 22:26:24,53.1667,63.5833,35.89,87,100,13.42
245,Osmanabad,IN,2022-09-26 22:25:09,18.1667,76.05,70.41,89,94,7.09
246,Luanda,AO,2022-09-26 22:24:08,-8.8368,13.2343,71.22,86,66,9.01
247,Tres Arroyos,AR,2022-09-26 22:21:53,-38.3739,-60.2798,60.1,50,53,5.61
248,Killybegs,IE,2022-09-26 22:26:25,54.6333,-8.45,53.65,74,90,20.89
249,Limbach-Oberfrohna,DE,2022-09-26 22:26:25,50.8667,12.75,52.56,78,100,12.93
250,Gao,ML,2022-09-26 22:26:26,16.6362,1.637,96.75,15,38,7.11
251,Vagay,RU,2022-09-26 22:26:26,57.9375,69.0217,27.54,78,40,8.66
252,Surt,LY,2022-09-26 22:26:26,31.2089,16.5887,84.49,38,32,15.3
253,Mao,ES,2022-09-26 22:23:10,39.8885,4.2658,66.76,63,0,1.14
254,Shihezi,CN,2022-09-26 22:26:27,44.3,86.0333,70.56,29,2,2.33
255,Benguela,AO,2022-09-26 22:26:27,-12.5763,13.4055,71.22,81,97,4.83
256,Rundu,NA,2022-09-26 22:26:28,-17.9333,19.7667,75.61,23,87,2.68
257,Kasongo-Lunda,CD,2022-09-26 22:26:28,-6.4667,16.8167,73.35,75,79,2.98
258,Lumeje,AO,2022-09-26 22:26:29,-11.55,20.7833,74.55,35,50,5.68
259,Ajdabiya,LY,2022-09-26 22:26:29,30.7554,20.2263,77.85,48,0,7.65
260,Malakal,SS,2022-09-26 22:26:30,9.5334,31.6605,72.59,87,73,2.55
261,Odweyne,SO,2022-09-26 22:26:30,9.4092,45.064,77.77,48,89,5.61
262,Teeli,RU,2022-09-26 22:26:31,51.0333,90.2333,56.53,35,100,7.29
263,Buchanan,LR,2022-09-26 22:26:31,5.8808,-10.0467,73.62,91,100,3.69
264,Karwar,IN,2022-09-26 22:26:32,14.8,74.1333,74.61,88,68,6.51
265,Yelnya,RU,2022-09-26 22:26:32,54.5786,33.1837,44.1,91,92,4.88
266,Lisala,CD,2022-09-26 22:26:32,2.15,21.5167,70.77,99,96,1.77
267,Sagua La Grande,CU,2022-09-26 22:26:33,22.8067,-80.0756,76.19,91,100,9.55
268,Rock Sound,BS,2022-09-26 22:23:45,24.9,-76.2,84.54,72,100,18.59
269,Plettenberg Bay,ZA,2022-09-26 22:26:33,-34.0527,23.3716,61.75,91,94,17.52
270,Carnarvon,AU,2022-09-26 22:26:34,-24.8667,113.6333,63.91,33,1,14.45
271,Saint-Denis,FR,2022-09-26 22:26:34,48.9167,2.3333,53.76,86,100,12.66
272,Yabelo,ET,2022-09-26 22:26:35,4.8833,38.0833,59.7,72,32,5.59
273,Guiglo,CI,2022-09-26 22:26:35,6.5456,-7.4966,70.57,95,96,2.8
274,Makueni,KE,2022-09-26 22:26:35,-1.8041,37.6203,62.51,88,34,5.77
275,Iaciara,BR,2022-09-26 22:26:36,-14.0958,-46.6317,83.35,39,59,7.07
276,Piripiri,BR,2022-09-26 22:26:36,-4.2733,-41.7769,83.82,51,69,8.14
277,Narsaq,GL,2022-09-26 22:26:37,60.9167,-46.05,48.42,93,100,9.93
278,Umm Lajj,SA,2022-09-26 22:26:37,25.0213,37.2685,88.99,39,5,6.98
279,Faya,SA,2022-09-26 22:26:37,18.3851,42.4509,66.31,29,1,6.17
280,Aswan,EG,2022-09-26 22:26:38,24.0934,32.907,92.57,23,25,2.59
281,Mecca,SA,2022-09-26 22:23:46,21.4267,39.8261,90.43,13,0,7.54
282,Marsh Harbour,BS,2022-09-26 22:26:38,26.5412,-77.0636,81.64,78,100,8.7
283,Taltal,CL,2022-09-26 22:26:39,-25.4,-70.4833,60.67,67,21,2.91
284,Zatoka,UA,2022-09-26 22:26:39,46.0725,30.4654,66.09,81,93,16.4
285,Desaguadero,PE,2022-09-26 22:26:39,-16.5656,-69.0417,52.83,52,54,17.0
286,La Rochelle,FR,2022-09-26 22:26:40,46.1667,-1.15,59.88,63,0,19.57
287,Tessalit,ML,2022-09-26 22:26:41,20.1986,1.0114,91.27,22,31,12.28
288,Nueva Gerona,CU,2022-09-26 22:26:41,21.8833,-82.8,81.73,81,100,32.19
289,Basoko,CD,2022-09-26 22:26:41,1.2391,23.616,74.21,88,94,3.36
290,Floro,NO,2022-09-26 22:26:42,61.5996,5.0328,48.24,93,100,1.14
291,The Valley,AI,2022-09-26 22:26:42,18.217,-63.0578,84.34,74,20,13.8
292,Frolovo,RU,2022-09-26 22:26:42,49.7713,43.6622,53.38,63,88,6.71
293,Sitrah,BH,2022-09-26 22:26:43,26.1547,50.6206,89.6,59,0,10.36
