City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
185,Rio Grande,BR,73.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
195,Sabang,ID,78.94,light rain,5.8933,95.3214,Hotel Citra
198,Richards Bay,ZA,73.2,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
204,Abha,SA,71.85,few clouds,18.2164,42.5053,Abha Hotel
211,Escanaba,US,74.52,clear sky,45.7453,-87.0646,Sunset Lodge
218,Otavalo,EC,70.02,light rain,0.2333,-78.2667,Hostal Curiñan
221,San-Pedro,CI,77.43,broken clouds,4.7485,-6.6363,Hotel Maria
222,Galle,LK,77.81,overcast clouds,6.0367,80.217,Amangalla
229,Hambantota,LK,78.96,overcast clouds,6.1241,81.1185,Bungalow 63
231,Nchelenge,ZM,79.48,clear sky,-9.3451,28.734,KD Travellers Home
235,Castro,BR,77.02,few clouds,-24.7911,-50.0119,CHACARA BAILLY
236,Hauterive,FR,75.96,clear sky,46.0901,3.4459,Aletti Palace Hotel
239,Buta,CD,72.79,scattered clouds,2.7858,24.73,Hôtel BOPANDO
243,Gravenhurst,CA,70.56,clear sky,44.9168,-79.3663,Residence Inn by Marriott Gravenhurst Muskoka Wharf
257,Ambilobe,MG,71.58,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
260,Obligado,PY,75.78,light rain,-27.0333,-55.6333,Hotel Kegler
261,Uige,AO,70.9,moderate rain,-7.6087,15.0613,Hotel Catraio
264,Harper,LR,78.17,scattered clouds,4.375,-7.7169,Screensaver
265,Axim,GH,77.68,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
266,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
269,Mahajanga,MG,77.02,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
275,Beruwala,LK,77.31,moderate rain,6.4788,79.9828,The Palms Hotel
276,Cedar Lake,US,75.97,overcast clouds,41.3648,-87.4411,Cedar Lake Ministries RV Park
279,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
294,Grand Gaube,MU,72.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
295,Mahon,ES,72.16,scattered clouds,39.8885,4.2658,ARTIEM Capri
301,Benguela,AO,73.17,few clouds,-12.5763,13.4055,Hotel Praia Morena
303,Pimentel,PE,70.09,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
311,Kismayo,SO,77.36,scattered clouds,-0.3582,42.5454,Agan-Hotel
315,Castel San Giovanni,IT,72.48,broken clouds,45.0583,9.4335,Hotel Motel 2 Castel San Giovanni
320,Licata,IT,76.75,broken clouds,37.1071,13.9461,Villa Giuliana
324,Montepuez,MZ,74.28,clear sky,-13.1256,38.9997,PembaAparthotel
325,Parvatipuram,IN,75.58,overcast clouds,18.7833,83.4333,Laxman Lodge
326,Saurimo,AO,70.57,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
331,Anniston,US,77.43,clear sky,33.6598,-85.8316,"Hotel Finial, BW Premier Collection"
332,Los Llanos De Aridane,ES,73.15,scattered clouds,28.6585,-17.9182,Valle Aridane
345,Porto Belo,BR,73.09,broken clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
351,Sawai Madhopur,IN,76.28,overcast clouds,25.9833,76.3667,Sawai Madhopur Lodge – IHCL SeleQtions
352,Lima,PE,71.91,overcast clouds,-12.0432,-77.0282,Hotel Kamana
368,Hosur,IN,73.31,overcast clouds,12.7167,77.8167,CCC PepperMint Hotel Hosur
374,Takoradi,GH,77.4,scattered clouds,4.8845,-1.7554,Raybow International Hotel
376,Toronto,CA,75.43,few clouds,43.7001,-79.4163,Furnished Apartments at Yonge & Eglinton by Canvas
380,Zhob,PK,73.76,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
383,Tukrah,LY,74.39,clear sky,32.5341,20.5791,Lagrota restaurant
385,Luanda,AO,74.53,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
387,Talara,PE,77.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
394,Inhambane,MZ,73.4,clear sky,-23.865,35.3833,Oceano
404,Cap Malheureux,MU,72.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
408,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
413,Boma,GH,74.98,light rain,7.0805,-2.1697,Obaatanpa Hotel
418,Tonj,SS,77.25,overcast clouds,7.2737,28.6822,Lakan Hotel
420,Jamalpur,BD,77.16,broken clouds,24.9167,89.9333,College hostel
421,Soyo,AO,76.08,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
425,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Alize Plage
426,Colares,PT,78.48,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
427,Chichli,IN,74.88,overcast clouds,22.8333,78.8167,जयश टेंट हाउस चीचली
