City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Ambilobe,MG,-13.2,49.05,71.58,78,5,3.85,clear sky
258,Joshimath,IN,30.5667,79.5667,61.39,77,9,2.77,clear sky
259,Machali,CL,-34.1833,-70.6667,58.28,63,75,3.44,broken clouds
260,Obligado,PY,-27.0333,-55.6333,75.78,44,94,7.43,light rain
261,Uige,AO,-7.6087,15.0613,70.9,89,93,2.77,moderate rain
262,Iranshahr,IR,27.2025,60.6848,91.74,10,0,11.5,clear sky
263,Andilamena,MG,-17.0167,48.5833,56.86,97,7,4.59,clear sky
264,Harper,LR,4.375,-7.7169,78.17,84,36,7.74,scattered clouds
265,Axim,GH,4.8699,-2.2405,77.68,84,49,7.74,scattered clouds
266,Bambous Virieux,MU,-20.3428,57.7575,71.85,73,40,9.22,scattered clouds
267,Old Shinyanga,TZ,-3.55,33.4,79.95,42,84,10.47,broken clouds
268,Necochea,AR,-38.5473,-58.7368,62.37,64,100,3.69,light rain
269,Mahajanga,MG,-15.7167,46.3167,77.02,78,0,6.91,clear sky
270,Batsfjord,NO,70.6345,29.7185,42.58,75,20,23.02,few clouds
271,Sayville,US,40.7359,-73.0821,62.94,91,100,12.66,overcast clouds
272,Sur,OM,22.5667,59.5289,82.53,59,2,9.44,clear sky
273,Esmeralda,CU,21.8525,-78.1169,87.98,48,33,5.17,scattered clouds
274,Banyo,CM,6.75,11.8167,66.72,90,65,1.99,light rain
275,Beruwala,LK,6.4788,79.9828,77.31,89,100,8.41,moderate rain
276,Cedar Lake,US,41.3648,-87.4411,75.97,34,100,6.4,overcast clouds
277,Shubarshi,KZ,48.5872,57.1869,52.59,22,92,11.23,overcast clouds
278,Myre,NO,69.1036,15.9492,45.9,80,65,10.67,broken clouds
279,Salalah,OM,17.0151,54.0924,78.89,83,20,5.75,few clouds
280,Khash,IR,28.2211,61.2158,67.53,20,0,6.8,clear sky
281,Cayenne,GF,4.9333,-52.3333,91.44,52,0,11.5,clear sky
282,Baghdad,IQ,33.3406,44.4009,87.71,27,0,3.44,clear sky
283,Andenes,NO,69.3143,16.1194,45.93,81,0,12.66,clear sky
284,Mokrousovo,RU,55.8103,66.7653,43.92,43,99,8.19,overcast clouds
285,Taormina,IT,37.8536,15.2885,69.64,70,13,3.71,few clouds
286,Edd,ER,13.9297,41.6925,89.55,62,45,9.66,scattered clouds
287,Georgiyevskoye,RU,58.731,45.024,46.0,91,100,4.61,overcast clouds
288,Concarneau,FR,47.875,-3.9225,61.83,74,55,13.91,broken clouds
289,Filadelfia,US,39.9523,-75.1638,61.16,90,100,11.5,mist
290,Lasa,IT,46.6166,10.7002,59.88,83,52,2.51,broken clouds
291,Itaperucu,BR,-25.22,-49.3478,81.32,49,5,2.13,clear sky
292,Tricase,IT,39.9304,18.3553,69.15,59,0,5.75,clear sky
293,Znamenskoye,RU,57.1281,73.8282,45.59,96,100,2.84,overcast clouds
294,Grand Gaube,MU,-20.0064,57.6608,72.37,66,2,4.0,clear sky
295,Mahon,ES,39.8885,4.2658,72.16,68,40,6.91,scattered clouds
296,Oswego,US,43.4501,-76.1497,68.92,27,2,5.01,clear sky
297,La Rioja,ES,42.25,-2.5,69.58,58,0,3.27,clear sky
298,Pisco,PE,-13.7,-76.2167,64.45,72,20,10.36,haze
299,Belmonte,BR,-15.8631,-38.8828,80.76,64,51,10.76,broken clouds
300,Constitucion,CL,-35.3333,-72.4167,58.39,68,3,12.95,clear sky
301,Benguela,AO,-12.5763,13.4055,73.17,80,24,8.84,few clouds
302,Tobol,KZ,52.6844,62.5794,49.77,24,100,8.21,overcast clouds
303,Pimentel,PE,-6.8367,-79.9342,70.09,60,0,14.97,clear sky
304,Taltal,CL,-25.4,-70.4833,61.18,61,3,5.1,clear sky
305,Canguaretama,BR,-6.38,-35.1289,84.27,60,8,16.33,clear sky
306,Kargil,IN,34.5667,76.1,46.27,44,2,6.76,clear sky
307,Neyshabur,IR,36.2133,58.7958,65.39,20,0,6.13,clear sky
308,Nioro,GM,13.35,-15.75,84.36,79,63,9.93,light rain
309,Coracora,PE,-15.0333,-73.7833,65.44,12,65,14.34,broken clouds
310,Picui,BR,-6.5106,-36.3469,90.63,30,10,19.93,clear sky
311,Kismayo,SO,-0.3582,42.5454,77.36,87,41,14.36,scattered clouds
312,Inzer,RU,54.2167,57.5556,48.51,48,100,3.8,overcast clouds
313,Yangambi,CD,0.8102,24.4336,72.5,90,82,1.01,broken clouds
314,Igarka,RU,67.4667,86.5833,29.61,90,97,10.13,overcast clouds
315,Castel San Giovanni,IT,45.0583,9.4335,72.48,65,56,1.45,broken clouds
316,Tessalit,ML,20.1986,1.0114,98.19,12,37,5.73,scattered clouds
317,Wajir,KE,1.7471,40.0573,87.76,37,0,0.0,clear sky
318,Lomovka,RU,53.9194,58.3672,45.34,46,100,3.58,light rain
319,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,48.09,79,0,1.32,clear sky
320,Licata,IT,37.1071,13.9461,76.75,68,61,5.93,broken clouds
321,Altagracia De Orituco,VE,9.8601,-66.3814,86.02,63,91,2.91,overcast clouds
322,Corinth,GR,37.9407,22.9573,69.89,59,19,7.0,few clouds
323,Kidal,ML,18.4411,1.4078,98.4,11,16,11.27,few clouds
324,Montepuez,MZ,-13.1256,38.9997,74.28,58,1,9.75,clear sky
325,Parvatipuram,IN,18.7833,83.4333,75.58,95,94,2.24,overcast clouds
326,Saurimo,AO,-9.6608,20.3916,70.57,60,92,3.33,overcast clouds
327,Zakopane,PL,49.299,19.9489,51.98,85,100,6.87,overcast clouds
328,Manicore,BR,-5.8092,-61.3003,93.15,49,0,8.05,clear sky
329,Boddam,GB,57.4667,-1.7833,52.18,69,99,12.86,overcast clouds
330,Sarakhs,IR,36.5449,61.1577,62.38,10,0,7.23,clear sky
331,Anniston,US,33.6598,-85.8316,77.43,25,0,9.22,clear sky
332,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,78,40,12.66,scattered clouds
333,Bernal,PE,-5.45,-80.75,83.95,37,52,11.7,broken clouds
334,Mandera,KE,3.9366,41.867,85.44,46,87,11.16,overcast clouds
335,Verkhnyaya Inta,RU,65.9811,60.3094,43.34,84,100,9.66,overcast clouds
336,Samoded,RU,63.6083,40.5111,46.85,94,100,3.98,overcast clouds
337,Saint-Louis,SN,16.3333,-15.0,105.44,14,14,5.1,few clouds
338,Huamachuco,PE,-7.8,-78.0667,64.47,42,61,5.57,light rain
339,Toguchin,RU,55.2353,84.3858,37.02,89,99,1.77,overcast clouds
340,Algarrobo,CO,10.1869,-74.5753,84.94,72,100,8.01,overcast clouds
341,Izmit,TR,40.7669,29.9169,54.41,95,40,2.3,scattered clouds
342,Ushtobe,KZ,45.2514,77.9838,48.88,22,0,11.41,clear sky
343,Floro,NO,61.5996,5.0328,51.76,87,75,16.11,broken clouds
344,Sao Jose Dos Campos,BR,-23.1794,-45.8869,81.09,44,0,4.61,clear sky
345,Porto Belo,BR,-27.1578,-48.5531,73.09,77,80,7.14,broken clouds
346,Ambatofinandrahana,MG,-20.55,46.8,61.3,45,0,4.94,clear sky
